Description, evaluation, std
Q50 error_cam_8pa_rot,0.02721060177776262,0.06402863906287508 
Q50 error_cam_8pa_tran,0.117701150254315,0.15675042521690508 
Q50 error_cam_OURS_opt_res_ks_rot,0.024968904777071983,0.06246155081222424 
Q50 error_cam_OURS_opt_res_ks_tran,0.10474203364163101,0.1520383550678809 
Q50 error_cam_8pa_opt_res_Rt_rot,0.02729814868708453,0.06609516203407674 
Q50 error_cam_8pa_opt_res_Rt_tran,0.08151770329205052,0.16528794107128444 
Q50 error_cam_OURS_opt_res_ks_Rt_rot,0.02690029585821433,0.06465042095665775 
Q50 error_cam_OURS_opt_res_ks_Rt_tran,0.0804448646719598,0.15738625784042962 
Q50 error_cam_OURS_opt_res_Rtks_rot,0.026754066531488943,0.06646351088247299 
Q50 error_cam_OURS_opt_res_Rtks_tran,0.07940806578310482,0.15793267737679353 
Q50 loss_8pa,2.2481691922859642e-05,2.4824005279556426e-05 
Q50 loss_OURS_opt_res_ks,2.2529691811621736e-05,2.360607055525771e-05 
Q50 loss_8pa_opt_res_Rt,2.558515015818189e-05,2.7762719742008105e-05 
Q50 loss_OURS_opt_res_ks_Rt,2.551323659517313e-05,2.8246826328887315e-05 
Q50 loss_OURS_opt_res_Rtks,2.6528507539267725e-05,2.904155994137768e-05 
Q50 time_8pa,1.0,0.0 
Q50 time_OURS_opt_res_ks,1.3913321129039125,0.3417187199549877 
Q50 time_8pa_opt_res_Rt,1.1287311982587742,0.24374550993997965 
Q50 time_OURS_opt_res_ks_Rt,1.5250904757701473,0.44226270655534183 
Q50 time_OURS_opt_res_Rtks,2.7273033955703183,1.4639049746499786 
8PA time,1.0,0.0
